AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"STOM, Antonio","(b. 1688, Venezia, d. 1734, Venezia)",View of the Piazza San Marco from the Procuratie Vecchie,1720,"Oil on panel, 106 x 123 cm",Private collection,https://www.wga.hu/html/s/stom_a/sanmarco.html,painting,landscape,Italian,1701-1750
"STOM, Antonio","(b. 1688, Venezia, d. 1734, Venezia)",Capriccio of a Port Scene with a Classical Arch,1720s,"Oil on canvas, 45 x 70 cm",Private collection,https://www.wga.hu/html/s/stom_a/scenearc.html,painting,landscape,Italian,1701-1750
"STOOP, Dirck Willemsz.","(b. ca. 1618, Utrecht, d. 1686, Utrecht)",Landscape with Huntsmen,1651,"Oil on panel, 37 x 47 cm",Private collection,https://www.wga.hu/html/s/stoop/dirck/huntsmen.html,painting,landscape,Dutch,1651-1700
"STOOP, Dirck Willemsz.","(b. ca. 1618, Utrecht, d. 1686, Utrecht)",Landscape with Horsemen,1667,"Oil on panel, 60 x 81 cm",Private collection,https://www.wga.hu/html/s/stoop/dirck/landhunt.html,painting,landscape,Dutch,1651-1700
"STOOP, Dirck Willemsz.","(b. ca. 1618, Utrecht, d. 1686, Utrecht)",Resting Hunters,-,"Oil on panel, 45 x 55 cm",Private collection,https://www.wga.hu/html/s/stoop/dirck/resting.html,painting,landscape,Dutch,1651-1700
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",View of a Harbour on the Zuiderzee,1680s,"Oil on canvas, 46 x 56 cm",Private collection,https://www.wga.hu/html/s/storck/abraham/harbour.html,painting,landscape,Dutch,1651-1700
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",Italianate Park Landscape,1687,"Oil on panel, 38 x 45 cm",Private collection,https://www.wga.hu/html/s/storck/abraham/italiana.html,painting,landscape,Dutch,1651-1700
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",Fortified Mediterranean Port,1676,"Oil on panel, 47 x 63 cm",Private collection,https://www.wga.hu/html/s/storck/abraham/mediport.html,painting,landscape,Dutch,1651-1700
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",Mediterranean Harbour Scene,-,"Oil on canvas, 78 x 70 cm",Private collection,https://www.wga.hu/html/s/storck/abraham/mharbour.html,painting,landscape,Dutch,1651-1700
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",Seascape with View of a Beach Animated by Figures,-,"Oil on canvas, 33 x 44 cm",Private collection,https://www.wga.hu/html/s/storck/abraham/seascape.html,painting,landscape,Dutch,1651-1700
